date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-13,151.43,152.24,151.26,152.2027,20244,20244,0.3627,0.239,151.9871,"Nov 13, 17",0.07738868832731635
2017-11-14,151.95,152.26,151.71,152.24,44978,44978,0.0373,0.025,152.1022,"Nov 14, 17",0.07765272173851488
2017-11-15,151.25,151.94,150.52,151.42,25755,25755,-0.82,-0.539,151.5841,"Nov 15, 17",0.07184823387838873
2017-11-16,152.13,153.4097,151.896,153.08,19545,19545,1.66,1.096,153.0993,"Nov 16, 17",0.08359878247327814
2017-11-17,152.97,153.6172,152.86,153.46,53881,53881,0.38,0.248,153.385,"Nov 17, 17",0.08628866709138527
2017-11-20,153.58,154.1099,153.54,154.09,43722,43722,0.63,0.411,153.9774,"Nov 20, 17",0.09074821264245765
2017-11-21,154.62,155.23,154.62,155.23,28164,28164,1.14,0.74,154.9715,"Nov 21, 17",0.09881786649677907
2017-11-22,155.45,155.68,155.04,155.15,29263,29263,-0.08,-0.052,155.2343,"Nov 22, 17",0.0982515749982303
2017-11-24,156,156,155.2329,155.33,37451,37451,0.18,0.116,155.4399,"Nov 24, 17",0.09952573086996533
2017-11-27,155.68,155.68,154.86,154.86,63042,63042,-0.47,-0.303,155.4104,"Nov 27, 17",0.09619876831599067
2017-11-28,155.5,156.71,155.283,156.71,28833,28833,1.85,1.195,156.1601,"Nov 28, 17",0.10929425921993344
2017-11-29,157.03,157.49,156.6027,156.88,25711,25711,0.17,0.108,156.8984,"Nov 29, 17",0.11049762865434971
2017-11-30,157.51,158.596,157.4,158.14,25482,25482,1.26,0.803,157.9788,"Nov 30, 17",0.11941671975649448
2017-12-01,158.1,158.43,155.131,157.71,32817,32817,-0.43,-0.272,157.0702,"Dec 1, 17",0.11637290295179441
2017-12-04,159.3,159.37,157.15,157.15,59322,59322,-0.56,-0.355,158.1942,"Dec 4, 17",0.11240886246195225
2017-12-05,157.62,157.62,156.04,156.08,43219,43219,-1.07,-0.681,156.761,"Dec 5, 17",0.10483471366886106
2017-12-06,156.09,156.19,155.43,155.47,52266,52266,-0.61,-0.391,155.7056,"Dec 6, 17",0.10051674099242576
2017-12-07,155.42,156.825,155.42,156.64,26387,26387,1.17,0.753,156.4983,"Dec 7, 17",0.10879875415870302
2017-12-08,157.53,157.59,156.82,157.28,32042,32042,0.64,0.409,157.2386,"Dec 8, 17",0.11332908614709414
2017-12-11,157.23,157.5,156.77,156.99,66773,66773,-0.29,-0.184,156.9704,"Dec 11, 17",0.11127627946485452
2017-12-12,157.24,157.24,156.675,156.73,43136,43136,-0.26,-0.166,156.9004,"Dec 12, 17",0.10943583209457053
2017-12-13,156.97,157.65,156.76,156.94,30160,30160,0.21,0.134,157.1075,"Dec 13, 17",0.11092234727826139
2017-12-14,156.08,157.45,155.86,155.8704,30488,30488,-1.0696,-0.682,156.4516,"Dec 14, 17",0.10335102994266283
2017-12-15,155.09,155.9956,154.2,155.06,107508,107508,-0.8104,-0.52,154.7741,"Dec 15, 17",0.09761449706236279
2017-12-18,156.13,156.83,156.06,156.42,36779,36779,1.36,0.877,156.3426,"Dec 18, 17",0.10724145253769361
2017-12-19,155.86,156.5,155.7,155.81,24198,24198,-0.61,-0.39,155.9689,"Dec 19, 17",0.10292347986125852
2017-12-20,155.95,156.554,155.3963,155.92,81628,81628,0.11,0.071,155.8956,"Dec 20, 17",0.10370213067176312
2017-12-21,156.27,156.36,155.9283,156.01,29701,29701,0.09,0.058,156.1542,"Dec 21, 17",0.10433920860763063
2017-12-22,155.62,156.28,155.5,155.89,28595,28595,-0.12,-0.077,155.8294,"Dec 22, 17",0.10348977135980729
2017-12-26,155.83,156.0183,155.5719,155.83,34415,34415,-0.06,-0.038,155.8207,"Dec 26, 17",0.1030650527358958
2017-12-27,155.97,156.35,155.84,155.97,120477,120477,0.14,0.09,156.0241,"Dec 27, 17",0.10405606285835625
2017-12-28,156.24,156.42,155.7,156.42,128155,128155,0.45,0.289,156.0778,"Dec 28, 17",0.10724145253769361
2017-12-29,156.75,156.75,155.48,155.48,35712,35712,-0.94,-0.601,156.2934,"Dec 29, 17",0.1005875274297443
2018-01-02,156.18,157.21,155.94,157.21,313531,313531,1.73,1.113,156.5731,"Jan 2, 18",0.11283358108586393
2018-01-03,157.09,157.88,156.9,157.57,129290,129290,0.36,0.229,157.4391,"Jan 3, 18",0.11538189282933377
2018-01-04,158.4,158.815,158.285,158.3,53057,53057,0.73,0.463,158.4823,"Jan 4, 18",0.12054930275359241
2018-01-05,158.85,159.39,158.6883,159.35,54883,54883,1.05,0.663,159.0868,"Jan 5, 18",0.1279818786720463
2018-01-08,159.29,160.17,159.015,160.03,43364,43364,0.68,0.427,159.6839,"Jan 8, 18",0.13279535640971182
2018-01-09,160.44,160.74,160.0575,160.14,60301,60301,0.11,0.069,160.4637,"Jan 9, 18",0.13357400722021642
2018-01-10,159.69,159.69,158.75,159.1948,30888,30888,-0.9452,-0.59,159.2001,"Jan 10, 18",0.12688327316486145
2018-01-11,159.47,161.4,159.47,161.4,62509,62509,2.2052,1.385,160.7612,"Jan 11, 18",0.1424930983223614
2018-01-12,161.46,161.987,161.21,161.84,39655,39655,0.44,0.273,161.7625,"Jan 12, 18",0.14560770156438022
2018-01-16,162.48,162.87,160.71,160.89,73236,73236,-0.95,-0.587,161.9649,"Jan 16, 18",0.13888299001911217
2018-01-17,161.52,162.73,161.46,162.32,556527,556527,1.43,0.889,162.4084,"Jan 17, 18",0.1490054505556734
2018-01-18,162.29,162.659,161.94,162.14,648378,648378,-0.18,-0.111,161.9986,"Jan 18, 18",0.1477312946839384
2018-01-19,162.38,163.92,162.38,163.92,429872,429872,1.78,1.098,163.3869,"Jan 19, 18",0.1603312805266509
2018-01-22,164.43,164.93,163.902,164.93,34555,34555,1.01,0.616,164.4398,"Jan 22, 18",0.16748071069583065
2018-01-23,164.76,165.38,164.511,165.32,24632,24632,0.39,0.236,165.1448,"Jan 23, 18",0.17024138175125633
2018-01-24,165.7,166.0985,164.23,164.92,30987,30987,-0.4,-0.242,165.2225,"Jan 24, 18",0.1674099242585119
2018-01-25,165.57,165.7253,164.1621,164.7,42114,42114,-0.22,-0.133,164.6287,"Jan 25, 18",0.1658526226375025
2018-01-26,165.18,165.57,164.25,165.57,63940,63940,0.87,0.528,165.2833,Jan 26,0.17201104268422157
2018-01-29,165.23,165.53,164.251,164.29,33347,33347,-1.28,-0.773,164.8481,Jan 29,0.1629503787074395
2018-01-30,162.96,163.3,162.52,162.52,45195,45195,-1.77,-1.077,162.8338,Jan 30,0.1504211793020457
2018-01-31,163.41,163.965,161.8098,162.15,29698,29698,-0.37,-0.228,162.5439,Jan 31,0.14780208112125712
2018-02-01,161.87,163.0464,161.8334,162.75,39233,39233,0.6,0.37,162.4554,Feb 1,0.15204926736037366
2018-02-02,162.13,162.13,159.54,159.66,105407,105407,-3.09,-1.899,160.5169,Feb 2,0.13017625822892323
2018-02-05,158.35,159.4448,153.45,153.45,93714,93714,-6.21,-3.89,156.7574,Feb 5,0.08621788065406652
2018-02-06,150.27,155.6,149.03,154.95,165951,165951,1.5,0.978,152.4686,Feb 6,0.09683584625185798
2018-02-07,154.99,156.2003,154.88,155.03,49114,49114,0.08,0.052,155.4973,Feb 7,0.09740213775040694
2018-02-08,155.24,155.24,149.56,149.56,31531,31531,-5.47,-3.528,152.3288,Feb 8,0.058681956537127426
2018-02-09,151.17,152.02,147.061,151.31,43778,43778,1.75,1.17,149.5397,Feb 9,0.07106958306788413
2018-02-12,152.47,153.686,150.94,152.96,24624,24624,1.65,1.09,152.8017,Feb 12,0.08274934522545478
2018-02-13,152.21,153.6666,151.88,153.6,26671,26671,0.64,0.418,153.0808,Feb 13,0.0872796772138457
2018-02-14,152.67,156.75,152.67,156.7,30772,30772,3.1,2.018,155.8836,Feb 14,0.10922347278261468
2018-02-15,157.76,158.49,156.56,158.49,25123,25123,1.79,1.142,157.953,Feb 15,0.12189424506264598
2018-02-16,158.12,159.27,158.08,158.58,94944,94944,0.09,0.057,158.5771,Feb 16,0.12253132299851349
2018-02-20,157.92,159.17,157.4081,157.69,74233,74233,-0.89,-0.561,157.9644,Feb 20,0.11623133007715712
2018-02-21,158.04,159.81,157.69,157.69,53508,53508,0,0,158.6554,Feb 21,0.11623133007715712
2018-02-22,158.19,158.6018,156.9,157.04,27372,27372,-0.65,-0.412,157.6637,Feb 22,0.11163021165144744
2018-02-23,158.02,158.7898,157.2098,158.7898,26608,26608,1.7498,1.114,158.1157,Feb 23,0.12401642245345794
2018-02-26,159.39,159.94,158.5276,159.78,25232,25232,0.9902,0.624,159.5642,Feb 26,0.13102569547674658
