date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-02-05,130.24,131.799,126.53,126.54,285034,285034,-4.79,-3.647,129.3045,Feb 5,0.11420269437351425
2018-02-06,124.15,128.45,123.47,128.07,469332,469332,1.53,1.209,126.5085,Feb 6,0.1276745619441754
2018-02-07,127.74,129.4824,127.3536,127.71,197262,197262,-0.36,-0.281,128.5588,Feb 7,0.12450471075107865
2018-02-08,128.21,128.3124,123.23,123.23,240192,240192,-4.48,-3.508,125.528,Feb 8,0.08505767368143005
2018-02-09,124.34,125.65,120.85,124.81,320612,320612,1.58,1.282,123.1668,Feb 9,0.09896979836224364
2018-02-12,125.5,127.2496,124.8099,126.61,186783,186783,1.8,1.442,126.3751,Feb 12,0.11481905432772746
2018-02-13,126.12,127.359,125.52,127.15,165351,165351,0.54,0.427,126.7083,Feb 13,0.11957383111737266
2018-02-14,126.32,129.2465,126.1,129.09,119966,119966,1.94,1.526,128.2395,Feb 14,0.13665580699128302
2018-02-15,129.91,130.84,128.8279,130.84,104195,104195,1.75,1.356,129.9397,Feb 15,0.15206480584661453
2018-02-16,130.35,131.5001,130.29,130.64,118933,118933,-0.2,-0.153,130.9086,Feb 16,0.15030377740600506
2018-02-20,130.05,131.32,129.79,130.17,238202,238202,-0.47,-0.36,130.5,Feb 20,0.14616536057057317
2018-02-21,130.5,131.73,129.56,129.56,91040,91040,-0.61,-0.469,130.7518,Feb 21,0.1407942238267149
2018-02-22,129.97,130.6304,129.12,129.41,157551,157551,-0.15,-0.116,129.9609,Feb 22,0.13947345249625787
2018-02-23,130.17,131.16,129.574,131.16,59251,59251,1.75,1.352,130.379,Feb 23,0.15488245135158937
2018-02-26,131.73,132.03,130.9812,131.99,108232,108232,0.83,0.633,131.5653,Feb 26,0.16219071938011814
